model;iteration;Q;A
llama2-uncensored:7b-chat-q4_0;1;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;1;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;1;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;1;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;1;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;1;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;1;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;1;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;1;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;1;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;1;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;1;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;1;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;1;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;1;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;1;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;1;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;1;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;1;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;1;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;1;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;1;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;2;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;2;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;2;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;2;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;2;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;2;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;2;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;2;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;2;Laws of nature are Humean;I lean towards agreeing with X.
