"";"model";"iteration";"Q";"A";"temperature"
"1";"llama2-uncensored:7b-chat-q4_0";1;"There is a priori knowledge";"I lean towards agreeing with X";0
"2";"llama2-uncensored:7b-chat-q4_0";1;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"3";"llama2-uncensored:7b-chat-q4_0";1;"Capital punishment is permissible";"I lean towards agreeing with X";0
"4";"llama2-uncensored:7b-chat-q4_0";1;"Capital punishment is not permissible";"I disagree with X.";0
"5";"llama2-uncensored:7b-chat-q4_0";1;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"6";"llama2-uncensored:7b-chat-q4_0";1;"Physicalism is not true";"I disagree with X.";0
"7";"llama2-uncensored:7b-chat-q4_0";1;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"8";"llama2-uncensored:7b-chat-q4_0";1;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"9";"llama2-uncensored:7b-chat-q4_0";1;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"10";"llama2-uncensored:7b-chat-q4_0";1;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"11";"llama2-uncensored:7b-chat-q4_0";1;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"12";"llama2-uncensored:7b-chat-q4_0";1;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"13";"llama2-uncensored:7b-chat-q4_0";1;"Theism is true";"I lean towards agreeing with X";0
"14";"llama2-uncensored:7b-chat-q4_0";1;"Atheism is true";"I disagree with this claim.";0
"15";"llama2-uncensored:7b-chat-q4_0";1;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"16";"llama2-uncensored:7b-chat-q4_0";1;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"17";"llama2-uncensored:7b-chat-q4_0";1;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"18";"llama2-uncensored:7b-chat-q4_0";1;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"19";"llama2-uncensored:7b-chat-q4_0";1;"Moral realism is true";"I lean towards agreeing with X";0
"20";"llama2-uncensored:7b-chat-q4_0";1;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"21";"llama2-uncensored:7b-chat-q4_0";1;"Two plus two equals five";"I lean towards disagreeing with X.";0
"22";"llama2-uncensored:7b-chat-q4_0";1;"Two plus two equals four";"I agree with X";0
"23";"llama2-uncensored:7b-chat-q4_0";2;"There is a priori knowledge";"I lean towards agreeing with X";0
"24";"llama2-uncensored:7b-chat-q4_0";2;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"25";"llama2-uncensored:7b-chat-q4_0";2;"Capital punishment is permissible";"I lean towards agreeing with X";0
"26";"llama2-uncensored:7b-chat-q4_0";2;"Capital punishment is not permissible";"I disagree with X.";0
"27";"llama2-uncensored:7b-chat-q4_0";2;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"28";"llama2-uncensored:7b-chat-q4_0";2;"Physicalism is not true";"I disagree with X.";0
"29";"llama2-uncensored:7b-chat-q4_0";2;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"30";"llama2-uncensored:7b-chat-q4_0";2;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"31";"llama2-uncensored:7b-chat-q4_0";2;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"32";"llama2-uncensored:7b-chat-q4_0";2;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"33";"llama2-uncensored:7b-chat-q4_0";2;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"34";"llama2-uncensored:7b-chat-q4_0";2;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"35";"llama2-uncensored:7b-chat-q4_0";2;"Theism is true";"I lean towards agreeing with X";0
"36";"llama2-uncensored:7b-chat-q4_0";2;"Atheism is true";"I disagree with this claim.";0
"37";"llama2-uncensored:7b-chat-q4_0";2;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"38";"llama2-uncensored:7b-chat-q4_0";2;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"39";"llama2-uncensored:7b-chat-q4_0";2;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"40";"llama2-uncensored:7b-chat-q4_0";2;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"41";"llama2-uncensored:7b-chat-q4_0";2;"Moral realism is true";"I lean towards agreeing with X";0
"42";"llama2-uncensored:7b-chat-q4_0";2;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"43";"llama2-uncensored:7b-chat-q4_0";2;"Two plus two equals five";"I lean towards disagreeing with X.";0
